tier,key,kind,rank,english,greek,russian,icon_subject,icon_subject_greek,search_suggestion,note,filename
3,04-26,fixed,4,Hieromartyr Basil of Amasea,,,,,Hieromartyr Basil of Amasea,Notable commemoration,04-26.jpg
3,04-27,fixed,4,"Hieromartyr Symeon, kinsman of the Lord",,,,,"Hieromartyr Symeon, kinsman of the Lord",Notable commemoration,04-27.jpg
3,04-28,fixed,4,Apostles Jason and Sosipater,,,,,Apostles Jason and Sosipater,Notable commemoration,04-28.jpg
3,04-29,fixed,4,The Nine Martyrs of Cyzicus,,,,,The Nine Martyrs of Cyzicus,Notable commemoration,04-29.jpg
3,04-30,fixed,4,"Apostle James, brother of St. John the Theologian",,,,,"Apostle James, brother of St. John the Theologian",Notable commemoration,04-30.jpg
3,05-01,fixed,4,Prophet Jeremiah,,,,,Prophet Jeremiah,Notable commemoration,05-01.jpg
3,05-02,fixed,4,Translation of the relics of St. Athanasius the Great,,,,,Translation of the relics of St. Athanasius the Great,Notable commemoration,05-02.jpg
3,05-03,fixed,4,Martyrs Timothy and Maura,,,,,Martyrs Timothy and Maura,Notable commemoration,05-03.jpg
3,05-04,fixed,4,Martyr Pelagia,,,,,Martyr Pelagia,Notable commemoration,05-04.jpg
3,05-05,fixed,4,Great Martyr Irene,,,,,Great Martyr Irene,Notable commemoration,05-05.jpg
3,05-06,fixed,4,Righteous Job the Long-suffering,,,,,Righteous Job the Long-suffering,Notable commemoration,05-06.jpg
3,05-07,fixed,4,The Sign of the Precious Cross at Jerusalem,,,,,The Sign of the Precious Cross at Jerusalem,Notable commemoration,05-07.jpg
3,05-09,fixed,4,Prophet Isaiah · Martyr Christopher,,,,,Prophet Isaiah · Martyr Christopher,Notable commemoration,05-09.jpg
3,05-10,fixed,4,Apostle Simon the Zealot,,,,,Apostle Simon the Zealot,Notable commemoration,05-10.jpg
3,05-12,fixed,4,St. Epiphanius of Cyprus · St. Germanus,,,,,St. Epiphanius of Cyprus · St. Germanus,Notable commemoration,05-12.jpg
3,05-13,fixed,4,Martyr Glyceria,,,,,Martyr Glyceria,Notable commemoration,05-13.jpg
3,05-14,fixed,4,Martyr Isidore of Chios,,,,,Martyr Isidore of Chios,Notable commemoration,05-14.jpg
3,05-15,fixed,4,St. Pachomius the Great,,,,,St. Pachomius the Great,Notable commemoration,05-15.jpg
3,05-16,fixed,4,St. Theodore the Sanctified,,,,,St. Theodore the Sanctified,Notable commemoration,05-16.jpg
3,05-17,fixed,4,Apostles Andronicus and Junia,,,,,Apostles Andronicus and Junia,Notable commemoration,05-17.jpg
3,05-18,fixed,4,"Martyrs Peter, Dionysius and companions",,,,,"Martyrs Peter, Dionysius and companions",Notable commemoration,05-18.jpg
3,05-19,fixed,4,Hieromartyr Patrick of Prusa,,,,,Hieromartyr Patrick of Prusa,Notable commemoration,05-19.jpg
3,05-20,fixed,4,Martyr Thalelaeus,,,,,Martyr Thalelaeus,Notable commemoration,05-20.jpg
3,05-22,fixed,4,Martyr Basiliscus,,,,,Martyr Basiliscus,Notable commemoration,05-22.jpg
3,05-23,fixed,4,St. Michael the Confessor,,,,,St. Michael the Confessor,Notable commemoration,05-23.jpg
3,05-24,fixed,4,St. Symeon of the Wonderful Mountain,,,,,St. Symeon of the Wonderful Mountain,Notable commemoration,05-24.jpg
3,05-25,fixed,4,Third Finding of the Head of the Forerunner,,,,,Third Finding of the Head of the Forerunner,Notable commemoration,05-25.jpg
3,05-26,fixed,4,Apostle Carpus,,,,,Apostle Carpus,Notable commemoration,05-26.jpg
3,05-27,fixed,4,Hieromartyr Therapon,,,,,Hieromartyr Therapon,Notable commemoration,05-27.jpg
3,05-28,fixed,4,St. Nicetas of Chalcedon,,,,,St. Nicetas of Chalcedon,Notable commemoration,05-28.jpg
3,05-29,fixed,4,Martyr Theodosia of Tyre,,,,,Martyr Theodosia of Tyre,Notable commemoration,05-29.jpg
3,05-30,fixed,4,St. Isaac of Dalmatus,,,,,St. Isaac of Dalmatus,Notable commemoration,05-30.jpg
3,05-31,fixed,4,Martyr Hermeas,,,,,Martyr Hermeas,Notable commemoration,05-31.jpg
3,06-01,fixed,4,Martyr Justin the Philosopher,,,,,Martyr Justin the Philosopher,Notable commemoration,06-01.jpg
3,06-02,fixed,4,St. Nicephorus of Constantinople,,,,,St. Nicephorus of Constantinople,Notable commemoration,06-02.jpg
3,06-03,fixed,4,Martyr Lucillian and his companions,,,,,Martyr Lucillian and his companions,Notable commemoration,06-03.jpg
3,06-04,fixed,4,St. Metrophanes of Constantinople,,,,,St. Metrophanes of Constantinople,Notable commemoration,06-04.jpg
3,06-05,fixed,4,Hieromartyr Dorotheus of Tyre,,,,,Hieromartyr Dorotheus of Tyre,Notable commemoration,06-05.jpg
3,06-06,fixed,4,St. Bessarion the Wonderworker · St. Hilarion the New,,,,,St. Bessarion the Wonderworker · St. Hilarion the New,Notable commemoration,06-06.jpg
3,06-07,fixed,4,Hieromartyr Theodotus of Ancyra,,,,,Hieromartyr Theodotus of Ancyra,Notable commemoration,06-07.jpg
3,06-08,fixed,4,Translation of the relics of Great Martyr Theodore,,,,,Translation of the relics of Great Martyr Theodore,Notable commemoration,06-08.jpg
3,06-09,fixed,4,St. Cyril of Alexandria,,,,,St. Cyril of Alexandria,Notable commemoration,06-09.jpg
3,06-10,fixed,4,Hieromartyr Timothy of Prussa,,,,,Hieromartyr Timothy of Prussa,Notable commemoration,06-10.jpg
3,06-11,fixed,4,Apostles Bartholomew and Barnabas,,,,,Apostles Bartholomew and Barnabas,Notable commemoration,06-11.jpg
3,06-12,fixed,4,St. Onuphrius the Great · St. Peter of Athos,,,,,St. Onuphrius the Great · St. Peter of Athos,Notable commemoration,06-12.jpg
3,06-13,fixed,4,Martyr Aquilina,,,,,Martyr Aquilina,Notable commemoration,06-13.jpg
3,06-14,fixed,4,Prophet Elisha,,,,,Prophet Elisha,Notable commemoration,06-14.jpg
3,06-15,fixed,4,Prophet Amos,,,,,Prophet Amos,Notable commemoration,06-15.jpg
3,06-16,fixed,4,St. Tychon of Amathus,,,,,St. Tychon of Amathus,Notable commemoration,06-16.jpg
3,06-17,fixed,4,"Martyrs Manuel, Sabel and Ismael",,,,,"Martyrs Manuel, Sabel and Ismael",Notable commemoration,06-17.jpg
3,06-18,fixed,4,Martyr Leontius,,,,,Martyr Leontius,Notable commemoration,06-18.jpg
3,06-19,fixed,4,"Apostle Jude, brother of the Lord",,,,,"Apostle Jude, brother of the Lord",Notable commemoration,06-19.jpg
3,06-20,fixed,4,Hieromartyr Methodius of Patara,,,,,Hieromartyr Methodius of Patara,Notable commemoration,06-20.jpg
3,06-21,fixed,4,Martyr Julian of Tarsus,,,,,Martyr Julian of Tarsus,Notable commemoration,06-21.jpg
3,06-22,fixed,4,Hieromartyr Eusebius of Samosata,,,,,Hieromartyr Eusebius of Samosata,Notable commemoration,06-22.jpg
3,06-23,fixed,4,Martyr Agrippina,,,,,Martyr Agrippina,Notable commemoration,06-23.jpg
3,06-25,fixed,4,Martyr Fevronia,,,,,Martyr Fevronia,Notable commemoration,06-25.jpg
3,06-26,fixed,4,St. David of Thessalonica,,,,,St. David of Thessalonica,Notable commemoration,06-26.jpg
3,06-27,fixed,4,St. Sampson the Hospitable,,,,,St. Sampson the Hospitable,Notable commemoration,06-27.jpg
3,06-28,fixed,4,Translation of the relics of Ss. Cyrus and John,,,,,Translation of the relics of Ss. Cyrus and John,Notable commemoration,06-28.jpg
3,07-01,fixed,4,Ss. Cosmas and Damian the Unmercenaries of Rome,,,,,Ss. Cosmas and Damian the Unmercenaries of Rome,Notable commemoration,07-01.jpg
3,07-02,fixed,4,Deposition of the Robe of the Theotokos,,,,,Deposition of the Robe of the Theotokos,Notable commemoration,07-02.jpg
3,07-03,fixed,4,Martyr Hyacinth,,,,,Martyr Hyacinth,Notable commemoration,07-03.jpg
3,07-04,fixed,4,St. Andrew of Crete,,,,,St. Andrew of Crete,Notable commemoration,07-04.jpg
3,07-05,fixed,4,St. Athanasius of Athos,,,,,St. Athanasius of Athos,Notable commemoration,07-05.jpg
3,07-06,fixed,4,St. Sisoes the Great,,,,,St. Sisoes the Great,Notable commemoration,07-06.jpg
3,07-07,fixed,4,Great Martyr Kyriaki · St. Thomas of Maleon,Ἁγίας Κυριακῆς,,,,Great Martyr Kyriaki · St. Thomas of Maleon,Notable commemoration,07-07.jpg
3,07-08,fixed,4,Great Martyr Procopius,,,,,Great Martyr Procopius,Notable commemoration,07-08.jpg
3,07-09,fixed,4,Hieromartyr Pancratius of Taormina,,,,,Hieromartyr Pancratius of Taormina,Notable commemoration,07-09.jpg
3,07-10,fixed,4,The Forty-five Martyrs of Nicopolis,,,,,The Forty-five Martyrs of Nicopolis,Notable commemoration,07-10.jpg
3,07-13,fixed,4,Synaxis of the Archangel Gabriel,,,,,Synaxis of the Archangel Gabriel,Notable commemoration,07-13.jpg
3,07-14,fixed,4,Apostle Aquila,,,,,Apostle Aquila,Notable commemoration,07-14.jpg
3,07-15,fixed,4,Martyrs Cyricus and Julitta,,,,,Martyrs Cyricus and Julitta,Notable commemoration,07-15.jpg
3,07-16,fixed,4,Hieromartyr Athenogenes,,,,,Hieromartyr Athenogenes,Notable commemoration,07-16.jpg
3,07-18,fixed,4,Martyr Emilian,,,,,Martyr Emilian,Notable commemoration,07-18.jpg
3,07-19,fixed,4,"St. Macrina, sister of St. Basil · St. Dios",,,,,"St. Macrina, sister of St. Basil · St. Dios",Notable commemoration,07-19.jpg
3,07-21,fixed,4,St. Symeon the Fool-for-Christ · St. John,,,,,St. Symeon the Fool-for-Christ · St. John,Notable commemoration,07-21.jpg
3,07-23,fixed,4,Hieromartyr Phocas,,,,,Hieromartyr Phocas,Notable commemoration,07-23.jpg
3,07-24,fixed,4,Great Martyr Christina,,,,,Great Martyr Christina,Notable commemoration,07-24.jpg
3,07-28,fixed,4,"Apostles Prochorus, Nicanor, Timon and Parmenas",,,,,"Apostles Prochorus, Nicanor, Timon and Parmenas",Notable commemoration,07-28.jpg
3,07-29,fixed,4,Martyr Callinicus,,,,,Martyr Callinicus,Notable commemoration,07-29.jpg
3,07-30,fixed,4,Apostles Silas and Silvanus,,,,,Apostles Silas and Silvanus,Notable commemoration,07-30.jpg
3,07-31,fixed,4,Righteous Eudocimus,,,,,Righteous Eudocimus,Notable commemoration,07-31.jpg
3,08-01,fixed,4,Procession of the Precious Cross · The Seven Maccabees,,,,,Procession of the Precious Cross · The Seven Maccabees,Notable commemoration,08-01.jpg
3,08-02,fixed,4,Translation of the relics of St. Stephen the Protomartyr,,,,,Translation of the relics of St. Stephen the Protomartyr,Notable commemoration,08-02.jpg
3,08-03,fixed,4,"Ss. Isaac, Dalmatus and Faustus",,,,,"Ss. Isaac, Dalmatus and Faustus",Notable commemoration,08-03.jpg
3,08-04,fixed,4,The Seven Youths of Ephesus,,,,,The Seven Youths of Ephesus,Notable commemoration,08-04.jpg
3,08-05,fixed,4,Forefeast of the Transfiguration,,,,,Forefeast of the Transfiguration,Notable commemoration,08-05.jpg
3,08-07,fixed,4,Martyr Dometius,,,,,Martyr Dometius,Notable commemoration,08-07.jpg
3,08-08,fixed,4,St. Emilian the Confessor,,,,,St. Emilian the Confessor,Notable commemoration,08-08.jpg
3,08-09,fixed,4,Apostle Matthias,,,,,Apostle Matthias,Notable commemoration,08-09.jpg
3,08-10,fixed,4,Martyr Laurence the Archdeacon,,,,,Martyr Laurence the Archdeacon,Notable commemoration,08-10.jpg
3,08-11,fixed,4,Martyr Euplus,,,,,Martyr Euplus,Notable commemoration,08-11.jpg
3,08-12,fixed,4,Martyrs Photius and Anicetus,,,,,Martyrs Photius and Anicetus,Notable commemoration,08-12.jpg
3,08-13,fixed,4,Leavetaking of the Transfiguration · St. Maximus,,,,,Leavetaking of the Transfiguration · St. Maximus,Notable commemoration,08-13.jpg
3,08-14,fixed,4,Forefeast of the Dormition · Prophet Micah,,,,,Forefeast of the Dormition · Prophet Micah,Notable commemoration,08-14.jpg
3,08-16,fixed,4,Translation of the Holy Napkin of Edessa,,,,,Translation of the Holy Napkin of Edessa,Notable commemoration,08-16.jpg
3,08-17,fixed,4,Martyr Myron,,,,,Martyr Myron,Notable commemoration,08-17.jpg
3,08-18,fixed,4,Martyrs Florus and Laurus,,,,,Martyrs Florus and Laurus,Notable commemoration,08-18.jpg
3,08-19,fixed,4,Martyr Andrew the General,,,,,Martyr Andrew the General,Notable commemoration,08-19.jpg
3,08-20,fixed,4,Prophet Samuel,,,,,Prophet Samuel,Notable commemoration,08-20.jpg
3,08-21,fixed,4,Apostle Thaddaeus,,,,,Apostle Thaddaeus,Notable commemoration,08-21.jpg
3,08-22,fixed,4,Martyr Agathonicus,,,,,Martyr Agathonicus,Notable commemoration,08-22.jpg
3,08-23,fixed,4,Leavetaking of the Dormition,,,,,Leavetaking of the Dormition,Notable commemoration,08-23.jpg
3,08-24,fixed,4,Hieromartyr Eutyches,,,,,Hieromartyr Eutyches,Notable commemoration,08-24.jpg
3,08-25,fixed,4,Apostle Titus · Return of the relics of Apostle Bartholomew,,,,,Apostle Titus · Return of the relics of Apostle Bartholomew,Notable commemoration,08-25.jpg
3,08-26,fixed,4,Martyrs Adrian and Natalia,,,,,Martyrs Adrian and Natalia,Notable commemoration,08-26.jpg
3,08-27,fixed,4,St. Poemen the Great,,,,,St. Poemen the Great,Notable commemoration,08-27.jpg
3,08-28,fixed,4,St. Moses the Ethiopian,,,,,St. Moses the Ethiopian,Notable commemoration,08-28.jpg
3,08-30,fixed,4,"Ss. Alexander, John and Paul of Constantinople",,,,,"Ss. Alexander, John and Paul of Constantinople",Notable commemoration,08-30.jpg
3,08-31,fixed,4,Deposition of the Sash of the Theotokos,,,,,Deposition of the Sash of the Theotokos,Notable commemoration,08-31.jpg
3,09-01,fixed,4,The Ecclesiastical New Year · St. Symeon the Stylite,Ἀρχὴ τῆς Ἰνδίκτου,Начало индикта · церковное новолетие,,,The Ecclesiastical New Year · St. Symeon the Stylite,Notable commemoration,09-01.jpg
3,09-02,fixed,4,Martyr Mamas · St. John the Faster,,,,,Martyr Mamas · St. John the Faster,Notable commemoration,09-02.jpg
3,09-03,fixed,4,Hieromartyr Anthimus of Nicomedia,,,,,Hieromartyr Anthimus of Nicomedia,Notable commemoration,09-03.jpg
3,09-04,fixed,4,Hieromartyr Babylas · Prophet Moses,,,,,Hieromartyr Babylas · Prophet Moses,Notable commemoration,09-04.jpg
3,09-05,fixed,4,"Prophet Zachariah, father of the Forerunner",,,,,"Prophet Zachariah, father of the Forerunner",Notable commemoration,09-05.jpg
3,09-06,fixed,4,The Miracle of the Archangel Michael at Colossae,,,,,The Miracle of the Archangel Michael at Colossae,Notable commemoration,09-06.jpg
3,09-07,fixed,4,Forefeast of the Nativity of the Theotokos · Martyr Sozon,,,,,Forefeast of the Nativity of the Theotokos · Martyr Sozon,Notable commemoration,09-07.jpg
3,09-09,fixed,4,Ss. Joachim and Anna,Ἰωακεὶμ καὶ Ἄννης,Праведных Иоакима и Анны,,,Ss. Joachim and Anna,Notable commemoration,09-09.jpg
3,09-10,fixed,4,"Martyrs Menodora, Metrodora and Nymphodora",,,,,"Martyrs Menodora, Metrodora and Nymphodora",Notable commemoration,09-10.jpg
3,09-11,fixed,4,St. Theodora of Alexandria,,,,,St. Theodora of Alexandria,Notable commemoration,09-11.jpg
3,09-12,fixed,4,Leavetaking of the Nativity of the Theotokos,,,,,Leavetaking of the Nativity of the Theotokos,Notable commemoration,09-12.jpg
3,09-13,fixed,4,Forefeast of the Elevation · Hieromartyr Cornelius,,,,,Forefeast of the Elevation · Hieromartyr Cornelius,Notable commemoration,09-13.jpg
3,09-15,fixed,4,Great Martyr Nicetas,,,,,Great Martyr Nicetas,Notable commemoration,09-15.jpg
3,09-16,fixed,4,Great Martyr Euphemia,,,,,Great Martyr Euphemia,Notable commemoration,09-16.jpg
3,09-17,fixed,4,"Martyrs Sophia, Faith, Hope and Love",,,,,"Martyrs Sophia, Faith, Hope and Love",Notable commemoration,09-17.jpg
3,09-18,fixed,4,St. Eumenius of Gortyna,,,,,St. Eumenius of Gortyna,Notable commemoration,09-18.jpg
3,09-19,fixed,4,"Martyrs Trophimus, Sabbatius and Dorymedon",,,,,"Martyrs Trophimus, Sabbatius and Dorymedon",Notable commemoration,09-19.jpg
3,09-20,fixed,4,Great Martyr Eustathius and his companions,,,,,Great Martyr Eustathius and his companions,Notable commemoration,09-20.jpg
3,09-21,fixed,4,Leavetaking of the Elevation · Apostle Quadratus,,,,,Leavetaking of the Elevation · Apostle Quadratus,Notable commemoration,09-21.jpg
3,09-22,fixed,4,Hieromartyr Phocas of Sinope,,,,,Hieromartyr Phocas of Sinope,Notable commemoration,09-22.jpg
3,09-23,fixed,4,The Conception of St. John the Forerunner,,,,,The Conception of St. John the Forerunner,Notable commemoration,09-23.jpg
3,09-24,fixed,4,Protomartyr and Equal to the Apostles Thekla,,,,,Protomartyr and Equal to the Apostles Thekla,Notable commemoration,09-24.jpg
3,09-25,fixed,4,St. Euphrosyne of Alexandria,,,,,St. Euphrosyne of Alexandria,Notable commemoration,09-25.jpg
3,09-27,fixed,4,Martyr Callistratus,,,,,Martyr Callistratus,Notable commemoration,09-27.jpg
3,09-28,fixed,4,St. Chariton the Confessor,,,,,St. Chariton the Confessor,Notable commemoration,09-28.jpg
3,09-29,fixed,4,St. Cyriacus the Hermit,,,,,St. Cyriacus the Hermit,Notable commemoration,09-29.jpg
3,09-30,fixed,4,Hieromartyr Gregory of Armenia,,,,,Hieromartyr Gregory of Armenia,Notable commemoration,09-30.jpg
3,10-01,fixed,4,St. Romanos the Melodist · Apostle Ananias,,,,,St. Romanos the Melodist · Apostle Ananias,Notable commemoration,10-01.jpg
3,10-02,fixed,4,Hieromartyr Cyprian · Martyr Justina,,,,,Hieromartyr Cyprian · Martyr Justina,Notable commemoration,10-02.jpg
3,10-04,fixed,4,Hieromartyr Hierotheus of Athens,,,,,Hieromartyr Hierotheus of Athens,Notable commemoration,10-04.jpg
3,10-05,fixed,4,Martyr Charitina,,,,,Martyr Charitina,Notable commemoration,10-05.jpg
3,10-07,fixed,4,Martyrs Sergius and Bacchus,,,,,Martyrs Sergius and Bacchus,Notable commemoration,10-07.jpg
3,10-08,fixed,4,St. Pelagia,,,,,St. Pelagia,Notable commemoration,10-08.jpg
3,10-09,fixed,4,"Apostle James, son of Alphaeus",,,,,"Apostle James, son of Alphaeus",Notable commemoration,10-09.jpg
3,10-10,fixed,4,Martyrs Eulampius and Eulampia,,,,,Martyrs Eulampius and Eulampia,Notable commemoration,10-10.jpg
3,10-11,fixed,4,Apostle Philip the Deacon,,,,,Apostle Philip the Deacon,Notable commemoration,10-11.jpg
3,10-12,fixed,4,"Martyrs Probus, Tarachus and Andronicus",,,,,"Martyrs Probus, Tarachus and Andronicus",Notable commemoration,10-12.jpg
3,10-13,fixed,4,Martyrs Carpus and Papylus,,,,,Martyrs Carpus and Papylus,Notable commemoration,10-13.jpg
3,10-14,fixed,4,St. Parascheva of Epivates,,,,,St. Parascheva of Epivates,Notable commemoration,10-14.jpg
3,10-15,fixed,4,Hieromartyr Lucian of Antioch,,,,,Hieromartyr Lucian of Antioch,Notable commemoration,10-15.jpg
3,10-16,fixed,4,Martyr Longinus the Centurion,,,,,Martyr Longinus the Centurion,Notable commemoration,10-16.jpg
3,10-17,fixed,4,Prophet Hosea,,,,,Prophet Hosea,Notable commemoration,10-17.jpg
3,10-19,fixed,4,Prophet Joel · St. John of Kronstadt,,,,,Prophet Joel · St. John of Kronstadt,Notable commemoration,10-19.jpg
3,10-21,fixed,4,St. Hilarion the Great,,,,,St. Hilarion the Great,Notable commemoration,10-21.jpg
3,10-22,fixed,4,St. Abercius of Hierapolis,,,,,St. Abercius of Hierapolis,Notable commemoration,10-22.jpg
3,10-24,fixed,4,Martyr Arethas and his companions,,,,,Martyr Arethas and his companions,Notable commemoration,10-24.jpg
3,10-25,fixed,4,Martyrs Marcian and Martyrius,,,,,Martyrs Marcian and Martyrius,Notable commemoration,10-25.jpg
3,10-27,fixed,4,Martyr Nestor of Thessalonica,,,,,Martyr Nestor of Thessalonica,Notable commemoration,10-27.jpg
3,10-29,fixed,4,Martyr Anastasia the Roman,,,,,Martyr Anastasia the Roman,Notable commemoration,10-29.jpg
3,10-30,fixed,4,Martyrs Zenobius and Zenobia,,,,,Martyrs Zenobius and Zenobia,Notable commemoration,10-30.jpg
3,10-31,fixed,4,"Apostles Stachys, Apellas and companions",,,,,"Apostles Stachys, Apellas and companions",Notable commemoration,10-31.jpg
3,11-01,fixed,4,Ss. Cosmas and Damian the Unmercenaries of Asia,,,,,Ss. Cosmas and Damian the Unmercenaries of Asia,Notable commemoration,11-01.jpg
3,11-02,fixed,4,"Martyrs Acindynus, Pegasius and companions",,,,,"Martyrs Acindynus, Pegasius and companions",Notable commemoration,11-02.jpg
3,11-03,fixed,4,Dedication of the Church of St. George at Lydda,,,,,Dedication of the Church of St. George at Lydda,Notable commemoration,11-03.jpg
3,11-04,fixed,4,St. Joannicius the Great,,,,,St. Joannicius the Great,Notable commemoration,11-04.jpg
3,11-05,fixed,4,Martyrs Galacteon and Episteme,,,,,Martyrs Galacteon and Episteme,Notable commemoration,11-05.jpg
3,11-06,fixed,4,St. Paul the Confessor of Constantinople,,,,,St. Paul the Confessor of Constantinople,Notable commemoration,11-06.jpg
3,11-07,fixed,4,The Thirty-three Martyrs of Melitene,,,,,The Thirty-three Martyrs of Melitene,Notable commemoration,11-07.jpg
3,11-10,fixed,4,"Apostles Erastus, Olympas and Rodion",,,,,"Apostles Erastus, Olympas and Rodion",Notable commemoration,11-10.jpg
3,11-11,fixed,4,Great Martyr Menas · St. Theodore the Studite,,,,,Great Martyr Menas · St. Theodore the Studite,Notable commemoration,11-11.jpg
3,11-12,fixed,4,St. John the Merciful · St. Nilus,,,,,St. John the Merciful · St. Nilus,Notable commemoration,11-12.jpg
3,11-14,fixed,4,Apostle Philip,,,,,Apostle Philip,Notable commemoration,11-14.jpg
3,11-15,fixed,4,"Martyrs Gurias, Samonas and Abibus",,,,,"Martyrs Gurias, Samonas and Abibus",Notable commemoration,11-15.jpg
3,11-17,fixed,4,St. Gregory the Wonderworker,,,,,St. Gregory the Wonderworker,Notable commemoration,11-17.jpg
3,11-18,fixed,4,Martyr Plato,,,,,Martyr Plato,Notable commemoration,11-18.jpg
3,11-19,fixed,4,Prophet Obadiah,,,,,Prophet Obadiah,Notable commemoration,11-19.jpg
3,11-20,fixed,4,Forefeast of the Entrance · St. Gregory of Decapolis,,,,,Forefeast of the Entrance · St. Gregory of Decapolis,Notable commemoration,11-20.jpg
3,11-22,fixed,4,St. Iakovos of Evia · Apostle Philemon,Ἁγίου Ἰακώβου,,,,St. Iakovos of Evia · Apostle Philemon,Notable commemoration,11-22.jpg
3,11-23,fixed,4,St. Amphilochius of Iconium,,,,,St. Amphilochius of Iconium,Notable commemoration,11-23.jpg
3,11-24,fixed,4,Hieromartyr Clement of Rome,,,,,Hieromartyr Clement of Rome,Notable commemoration,11-24.jpg
3,11-26,fixed,4,St. Alypius the Stylite,,,,,St. Alypius the Stylite,Notable commemoration,11-26.jpg
3,11-27,fixed,4,Great Martyr James the Persian,,,,,Great Martyr James the Persian,Notable commemoration,11-27.jpg
3,11-28,fixed,4,St. Stephen the New,,,,,St. Stephen the New,Notable commemoration,11-28.jpg
3,11-29,fixed,4,Martyr Paramonus,,,,,Martyr Paramonus,Notable commemoration,11-29.jpg
3,12-01,fixed,4,Prophet Nahum · St. Philaret the Merciful,,,,,Prophet Nahum · St. Philaret the Merciful,Notable commemoration,12-01.jpg
3,12-03,fixed,4,Prophet Zephaniah,,,,,Prophet Zephaniah,Notable commemoration,12-03.jpg
3,12-07,fixed,4,St. Ambrose of Milan,,,,,St. Ambrose of Milan,Notable commemoration,12-07.jpg
3,12-08,fixed,4,St. Patapios,,,,,St. Patapios,Notable commemoration,12-08.jpg
3,12-09,fixed,4,The Conception of the Theotokos by St. Anna,,,,,The Conception of the Theotokos by St. Anna,Notable commemoration,12-09.jpg
3,12-10,fixed,4,"Martyrs Menas, Hermogenes and Eugraphus",,,,,"Martyrs Menas, Hermogenes and Eugraphus",Notable commemoration,12-10.jpg
3,12-11,fixed,4,St. Daniel the Stylite,,,,,St. Daniel the Stylite,Notable commemoration,12-11.jpg
3,12-13,fixed,4,"Martyrs Eustratius, Auxentius and companions · St. Lucy",,,,,"Martyrs Eustratius, Auxentius and companions · St. Lucy",Notable commemoration,12-13.jpg
3,12-14,fixed,4,"Martyrs Thyrsus, Leucius and Callinicus",,,,,"Martyrs Thyrsus, Leucius and Callinicus",Notable commemoration,12-14.jpg
3,12-15,fixed,4,Hieromartyr Eleutherius,,,,,Hieromartyr Eleutherius,Notable commemoration,12-15.jpg
3,12-16,fixed,4,Prophet Haggai,,,,,Prophet Haggai,Notable commemoration,12-16.jpg
3,12-17,fixed,4,Prophet Daniel and the Three Holy Youths,,,,,Prophet Daniel and the Three Holy Youths,Notable commemoration,12-17.jpg
3,12-18,fixed,4,Martyr Sebastian and his companions,,,,,Martyr Sebastian and his companions,Notable commemoration,12-18.jpg
3,12-19,fixed,4,Martyr Boniface,,,,,Martyr Boniface,Notable commemoration,12-19.jpg
3,12-20,fixed,4,Forefeast of the Nativity · Hieromartyr Ignatius the God-bearer,,,,,Forefeast of the Nativity · Hieromartyr Ignatius the God-bearer,Notable commemoration,12-20.jpg
3,12-21,fixed,4,Martyr Juliana,,,,,Martyr Juliana,Notable commemoration,12-21.jpg
3,12-22,fixed,4,Great Martyr Anastasia the Deliverer from Potions,,,,,Great Martyr Anastasia the Deliverer from Potions,Notable commemoration,12-22.jpg
3,12-23,fixed,4,The Ten Martyrs of Crete,,,,,The Ten Martyrs of Crete,Notable commemoration,12-23.jpg
3,12-28,fixed,4,The Twenty Thousand Martyrs of Nicomedia,,,,,The Twenty Thousand Martyrs of Nicomedia,Notable commemoration,12-28.jpg
3,12-29,fixed,4,The Holy Innocents of Bethlehem,,,,,The Holy Innocents of Bethlehem,Notable commemoration,12-29.jpg
3,12-30,fixed,4,Martyr Anysia,,,,,Martyr Anysia,Notable commemoration,12-30.jpg
3,12-31,fixed,4,Leavetaking of the Nativity · St. Melania,,,,,Leavetaking of the Nativity · St. Melania,Notable commemoration,12-31.jpg
3,P+014,movable,4,Sunday of the Myrrh-Bearing Women,Τῶν Μυροφόρων,Неделя жён-мироносиц,,,Sunday of the Myrrh-Bearing Women,Notable commemoration,Pp014.jpg
3,P+021,movable,4,Sunday of the Paralytic,,Неделя о расслабленном,,,Sunday of the Paralytic,Notable commemoration,Pp021.jpg
3,P+024,movable,4,Mid-Pentecost,Μεσοπεντηκοστή,Преполовение Пятидесятницы,,,Mid-Pentecost,Notable commemoration,Pp024.jpg
3,P+028,movable,4,Sunday of the Samaritan Woman,,Неделя о самаряныне,,,Sunday of the Samaritan Woman,Notable commemoration,Pp028.jpg
3,P+035,movable,4,Sunday of the Blind Man,,Неделя о слепом,,,Sunday of the Blind Man,Notable commemoration,Pp035.jpg
3,P+042,movable,4,Sunday of the Fathers of the First Council,,Неделя святых отцов I Вселенского Собора,,,Sunday of the Fathers of the First Council,Notable commemoration,Pp042.jpg
3,P+048,movable,4,Saturday of Souls before Pentecost,Ψυχοσάββατον,Троицкая родительская суббота,,,Saturday of Souls before Pentecost,Notable commemoration,Pp048.jpg
3,P-014,movable,4,Sunday of St. Mary of Egypt,,Неделя прп. Марии Египетской,,,Sunday of St. Mary of Egypt,Notable commemoration,Pm014.jpg
3,P-021,movable,4,Sunday of St. John Climacus,,Неделя прп. Иоанна Лествичника,,,Sunday of St. John Climacus,Notable commemoration,Pm021.jpg
